Identifier,Angle_degree,Distance_from_ChNPP_km,Date_gamma_measurement ,Exposure_Dose_rate_mR/h,Absorbed_dose_rate_microGray/h,Zr-95_Bqm2,"SZR-95, relative error",Nb-95_Bqm2,"SNB-95, relative error",Ru-106_Bqm2,"SRU-106, relative error",Cs-134_Bqm2,"SCS-134, relative error",Cs-137_Bqm2,"SCS-137, relative error",Ce-144_Bq/m3,"SCe-144, relative error",Cs134 + Cs137 Bq/m2,Total Cs - exchangeable form bq/m2,Exch_Cs-134+Cs-137_Bqm2,x,y,INI X,INI Y
483,330,7,5/6/1987,7,61.1,8.66E+05,0.06,1.82E+06,0.03,5.59E+06,0.05,1.10E+06,0.03,2.55E+06,0.02,1.85E+07,0.02,3.64E+06,3.39E+06,2.48E+05,44.36160825,29.0783286,,
484,330,8.3,4/6/1987,5,43.7,6.73E+05,0.07,1.65E+06,0.03,6.33E+06,0.05,8.36E+05,0.04,2.23E+06,0.03,1.75E+07,,3.06E+06,2.85E+06,2.11E+05,43.07304978,28.90623248,,
485,330,10,4/6/1987,4,34.9,7.84E+05,0.07,1.82E+06,0.03,6.25E+06,0.05,1.17E+06,0.03,2.89E+06,0.02,1.93E+07,0.02,4.07E+06,3.86E+06,2.04E+05,41.38801178,28.68118371,,
486,330,12,4/6/1987,3,26.2,4.00E+05,0.09,6.62E+05,0.04,2.53E+06,0.08,5.11E+05,0.06,1.45E+06,0.03,8.36E+06,0.03,1.96E+06,1.47E+06,5.00E+05,39.40561414,28.41642045,,
487,330,14.7,5/6/1987,3,26.2,1.96E+05,0.13,4.55E+05,0.05,1.76E+06,0.09,6.66E+05,0.04,1.74E+06,0.03,5.07E+06,0.05,2.41E+06,1.07E+06,1.34E+06,36.72937732,28.05899005,,
488,330,17,4/6/1987,1.5,13.1,1.07E+05,0.05,2.66E+05,0.02,9.95E+05,0.03,4.48E+05,0.02,1.55E+06,0.01,2.66E+06,0.01,1.99E+06,6.55E+05,1.34E+06,34.44962003,27.7545123,,
489,330,20,5/6/1987,1,8.7,4.81E+04,0.12,1.15E+05,0.03,8.66E+05,0.04,5.44E+05,0.01,2.03E+06,0.01,1.52E+06,0.02,2.58E+06,1.27E+06,1.31E+06,31.47602356,27.35736742,,
490,330,25,5/6/1987,2.2,19.2,2.37E+05,0.08,3.96E+05,0.03,1.77E+06,0.07,1.10E+06,0.02,3.19E+06,0.01,3.77E+06,0.03,4.28E+06,3.31E+06,9.73E+05,26.52002946,26.69545927,,
491,330,30,5/6/1987,0.8,7,9.25E+04,0.14,2.11E+05,0.04,1.07E+06,0.07,5.40E+05,0.03,1.39E+06,0.02,2.15E+06,0.03,1.94E+06,1.93E+06,3.70E+03,21.56403535,26.03355112,,
492,330,37.5,5/6/1987,0.4,3.5,,,4.44E+04,0.07,3.03E+05,0.12,1.63E+05,0.04,4.07E+05,0.02,5.99E+05,0.05,5.70E+05,5.40E+05,2.96E+04,14.13004418,25.0406889,,
493,330,45,,,,,,,,,,,,,,,,,,,6.696053021,24.04782669,,
494,330,52.5,5/6/1987,0.25,2.2,,,1.85E+04,0.15,,,1.96E+05,0.03,4.77E+05,0.02,2.85E+05,0.09,6.73E+05,5.85E+05,8.88E+04,-0.737938142,23.05496447,,
495,330,60,5/6/1987,0.25,2.2,7.40E+03,0.13,1.48E+04,0.06,1.22E+05,0.07,1.33E+05,0.02,3.33E+05,0.01,1.67E+05,0.05,4.66E+05,3.11E+05,1.55E+05,-8.171929305,22.06210225,,
496,340,5,2/6/1987,23,200.8,2.90E+06,0.04,7.07E+06,0.01,1.93E+07,0.03,3.50E+06,0.02,8.29E+06,0.01,6.96E+07,0.01,1.18E+07,1.11E+07,7.33E+05,55.09834155,33.2565537,,
497,340,6,2/6/1987,12,104.8,1.61E+06,0.05,3.46E+06,0.05,9.62E+06,0.04,2.01E+06,0.03,5.14E+06,0.02,3.29E+07,0.02,7.15E+06,6.77E+06,3.81E+05,55.85800986,33.90686444,,
498,340,7,4/6/1987,25,218.3,2.86E+06,0.03,6.36E+06,0.01,2.00E+07,0.03,3.31E+06,0.02,8.07E+06,0.01,6.88E+07,0.01,1.14E+07,1.11E+07,2.26E+05,56.61767817,34.55717518,,
499,340,8.3,4/6/1987,14,122.2,1.87E+06,0.08,3.81E+06,0.03,1.33E+07,0.07,1.80E+06,0.06,5.51E+06,0.03,4.85E+07,0.02,7.31E+06,6.94E+06,3.74E+05,57.60524697,35.40257914,,
500,340,10,,,,,,,,,,,,,,,,,,,58.8966831,36.5081074,,
501,340,12,4/6/1987,5,43.7,8.03E+05,0.06,1.61E+06,0.03,5.18E+06,0.05,1.13E+06,0.03,2.95E+06,0.02,1.65E+07,0.02,4.08E+06,3.64E+06,4.37E+05,60.41601972,37.80872888,,
502,340,14.7,4/6/1987,4.5,39.3,6.96E+05,0.14,1.01E+06,0.07,4.44E+06,0.12,1.25E+06,0.07,3.34E+06,0.04,1.58E+07,0.05,4.60E+06,3.69E+06,9.10E+05,62.46712416,39.56456788,,
503,340,17,4/6/1987,5,43.7,3.69E+05,0.1,9.51E+05,0.04,3.62E+06,0.06,1.07E+06,0.03,2.62E+06,0.02,9.58E+06,0.03,3.69E+06,2.78E+06,9.10E+05,64.21436127,41.06028258,,
504,340,20,2/6/1987,5,43.7,3.63E+05,0.1,7.44E+05,0.04,3.38E+06,0.06,1.70E+06,0.03,3.77E+06,0.02,7.59E+06,0.04,5.48E+06,4.17E+06,1.31E+06,66.4933662,43.0112148,,
505,340,25,2/6/1987,3.5,30.6,,,2.26E+05,0.08,1.53E+06,0.09,1.04E+06,0.03,2.24E+06,0.02,2.24E+06,0.08,3.27E+06,2.44E+06,8.36E+05,70.29170775,46.2627685,,
506,340,30,29/05/1987,2.5,21.8,1.52E+05,0.08,3.63E+05,0.02,1.46E+06,0.05,3.40E+05,0.03,1.04E+06,0.02,3.06E+06,0.02,1.38E+06,1.25E+06,1.30E+05,74.0900493,49.5143222,,
507,340,37.5,5/6/1987,0.5,4.4,2.96E+04,0.26,1.26E+05,0.04,3.59E+05,0.1,3.70E+05,0.02,9.40E+05,0.02,1.34E+06,0.03,1.31E+06,1.05E+06,2.63E+05,79.78756163,54.39165276,,
508,340,45,5/6/1987,0.28,2.4,2.59E+04,0.11,6.29E+04,0.04,2.89E+05,0.07,2.04E+05,0.02,5.37E+05,0.01,7.22E+05,0.03,7.40E+05,6.88E+05,5.18E+04,85.48507395,59.26898331,,
509,340,52.5,5/6/1987,0.3,2.6,2.96E+04,0.15,3.70E+04,0.09,2.78E+05,0.11,1.48E+05,0.04,3.77E+05,0.02,5.18E+05,0.06,5.25E+05,4.37E+05,8.88E+04,91.18258628,64.14631386,,
510,340,60,5/6/1987,0.2,1.7,1.11E+04,0.1,2.96E+04,0.04,9.25E+04,0.07,3.33E+04,0.04,9.25E+04,0.02,3.37E+05,0.03,1.26E+05,9.03E+04,3.55E+04,96.8800986,69.02364441,,
511,350,5,2/6/1987,12,104.8,1.65E+06,0.04,3.56E+06,0.02,1.05E+07,0.04,1.85E+06,0.03,5.00E+06,0.02,3.85E+07,0.01,6.85E+06,5.97E+06,8.77E+05,49.8818336,25.21033587,,
512,350,6,2/6/1987,15,131,2.03E+06,0.04,4.40E+06,0.02,1.51E+07,0.03,2.60E+06,0.02,6.25E+06,0.02,4.18E+07,0.02,8.85E+06,8.21E+06,6.40E+05,49.59820032,24.25140305,,
513,350,7,20/05/1987,7,61.1,1.48E+05,0.03,4.18E+05,0.01,8.88E+05,0.03,1.70E+05,0.02,4.66E+05,0.01,3.58E+06,0.01,6.36E+05,6.36E+05,,49.31456705,23.29247022,,
514,350,8.3,5/6/1987,5,43.7,5.66E+05,0.11,1.52E+06,0.04,3.70E+06,0.11,3.00E+05,0.2,2.20E+06,0.04,1.69E+07,0.03,2.50E+06,2.20E+06,3.00E+05,48.94584378,22.04585755,,
515,350,10,4/6/1987,6,52.4,6.44E+05,0.07,1.32E+06,0.03,5.37E+06,0.05,1.65E+06,0.03,4.03E+06,0.02,1.35E+07,0.03,5.68E+06,4.47E+06,1.21E+06,48.46366721,20.41567175,,
516,350,12,2/6/1987,5,43.7,9.62E+04,0.05,3.33E+05,0.01,8.92E+05,0.03,3.03E+05,0.02,8.44E+05,0.01,3.53E+06,0.01,1.15E+06,7.70E+05,3.77E+05,47.89640065,18.4978061,,
517,350,14.7,,,,,,,,,,,,,,,,,,,47.1305908,15.90868747,,
518,350,17,2/6/1987,3.5,30.6,8.88E+04,0.05,1.89E+05,0.02,6.33E+05,0.04,4.22E+05,0.01,1.53E+06,0.01,1.86E+06,0.02,1.95E+06,1.87E+06,8.14E+04,46.47823425,13.70314197,,
519,350,20,2/6/1987,5,43.7,1.74E+05,0.1,2.55E+05,0.05,1.48E+06,0.08,1.59E+06,0.02,3.81E+06,0.01,2.81E+06,0.05,5.40E+06,5.06E+06,3.37E+05,45.62733442,10.8263435,,
520,350,25,2/6/1987,1.7,14.8,3.33E+04,0.08,9.25E+04,0.03,4.22E+05,0.04,3.63E+05,0.01,1.05E+06,0.01,9.66E+05,0.02,1.41E+06,1.35E+06,6.66E+04,44.20916802,6.031679374,,
521,350,30,2/6/1987,0.8,7,6.29E+04,0.05,1.33E+05,0.02,6.07E+05,0.03,1.85E+05,0.02,4.81E+05,0.01,1.41E+06,0.02,6.66E+05,6.07E+05,5.92E+04,42.79100162,1.237015249,,
522,350,37.5,5/6/1987,0.5,4.4,1.85E+04,0.1,4.07E+04,0.04,2.26E+05,0.06,2.48E+05,0.01,6.81E+05,0.01,4.59E+05,0.03,9.29E+05,9.03E+05,2.59E+04,40.66375203,-5.954980939,,
523,350,45,5/6/1987,0.5,4.4,2.96E+04,0.12,6.29E+04,0.04,3.03E+05,0.07,2.22E+05,0.02,5.70E+05,0.01,6.25E+05,0.04,7.92E+05,7.84E+05,7.40E+03,38.53650244,-13.14697713,,
524,350,52.5,5/6/1987,0.5,4.4,2.22E+04,0.17,5.55E+04,0.06,3.48E+05,0.1,2.04E+05,0.03,4.92E+05,0.02,3.22E+05,0.1,6.96E+05,6.14E+05,8.14E+04,36.40925284,-20.33897331,,
525,350,60,5/6/1987,0.12,1,2.22E+04,0.18,3.70E+04,0.08,1.04E+05,0.2,4.81E+04,0.08,1.30E+05,0.04,4.59E+05,0.05,1.78E+05,9.99E+04,7.77E+04,34.28200325,-27.5309695,,
526,360,5,4/6/1987,10,87.3,1.13E+06,0.05,2.07E+06,0.03,8.10E+06,0.04,9.73E+05,0.04,2.59E+06,0.02,1.96E+07,0.02,3.56E+06,3.19E+06,3.66E+05,49.88154454,34.79957862,,
527,360,6,4/6/1987,7.5,65.5,9.66E+05,0.06,2.14E+06,0.02,6.70E+06,0.05,1.10E+06,0.04,2.87E+06,0.02,2.22E+07,0.02,3.97E+06,2.52E+06,1.45E+06,49.59785345,35.75849434,,
528,360,7,5/6/1987,5,43.7,9.32E+05,0.08,1.81E+06,0.04,6.40E+06,0.07,8.99E+05,0.06,2.38E+06,0.03,2.23E+07,0.03,3.27E+06,2.48E+06,7.96E+05,49.31416236,36.71741006,,
529,360,8.3,4/6/1987,5,43.7,6.07E+05,0.07,1.24E+06,0.03,4.00E+06,0.06,6.59E+05,0.04,1.78E+06,0.03,1.28E+07,0.03,2.43E+06,2.07E+06,3.66E+05,48.94536394,37.9640005,,
530,360,10,2/6/1987,5,43.7,1.84E+05,0.04,4.70E+05,0.01,1.35E+06,0.03,3.44E+05,0.02,1.02E+06,0.01,5.74E+06,0.01,1.36E+06,1.34E+06,2.22E+04,48.46308909,39.59415723,,
531,360,12,,,,,,,,,,,,,,,,,,,47.8957069,41.51198868,,
532,360,14.7,3/6/1987,4.5,39.3,,,2.70E+05,0.06,1.74E+06,0.1,1.44E+06,0.02,3.43E+06,0.02,3.70E+06,0.05,4.87E+06,3.83E+06,1.04E+06,47.12974096,44.10106113,,
533,360,17,1/6/1987,4,34.9,,,,,1.13E+06,0.23,9.36E+05,0.06,2.09E+06,0.04,2.39E+06,0.16,3.03E+06,1.99E+06,1.04E+06,46.47725144,46.3065673,,
534,360,20,2/6/1987,5,43.7,1.55E+05,0.16,2.52E+05,0.08,1.96E+06,0.09,2.26E+06,0.02,5.29E+06,0.02,2.58E+06,0.08,7.55E+06,5.15E+06,2.40E+06,45.62617817,49.18331447,,
535,360,25,2/6/1987,2.5,21.8,7.40E+04,0.06,1.26E+05,0.03,6.48E+05,0.04,6.03E+05,0.01,1.69E+06,0.01,1.47E+06,0.02,2.30E+06,1.62E+06,6.81E+05,44.20772271,53.97789309,,
536,360,30,2/6/1987,0.3,2.6,3.70E+04,0.06,8.14E+04,0.03,4.07E+05,0.04,1.44E+05,0.02,3.63E+05,0.01,8.58E+05,0.02,5.07E+05,4.66E+05,4.07E+04,42.78926726,58.7724717,,
537,360,37.5,5/6/1987,0.6,5.2,1.11E+04,0.12,2.59E+04,0.04,2.04E+05,0.06,2.29E+05,0.01,6.25E+05,0.01,2.66E+05,0.04,8.55E+05,7.92E+05,6.29E+04,40.66158407,65.96433963,,
538,360,45,5/6/1987,0.31,2.7,2.59E+04,0.2,4.44E+04,0.08,3.48E+05,0.1,2.41E+05,0.03,5.81E+05,0.02,5.29E+05,0.07,8.21E+05,7.14E+05,1.07E+05,38.53390088,73.15620755,,
539,360,52.5,5/6/1987,0.4,3.5,7.40E+03,0.14,1.48E+04,0.06,1.10E+05,0.07,1.10E+05,0.02,2.89E+05,0.01,1.44E+05,0.05,3.99E+05,3.84E+05,1.48E+04,36.4062177,80.34807548,,
540,360,60,5/6/1987,0.06,0.5,,,1.48E+04,0.09,,,3.33E+04,0.06,9.62E+04,0.04,1.48E+05,0.08,1.30E+05,1.18E+05,1.11E+04,34.27853451,87.5399434,,
